id,number,title,user,state,created_at,updated_at,closed_at,merged_at,merge_commit_sha,additions,deletions,changed_files,comments,review_comments,labels,num_labels,commits_behind_main,commits_ahead_main,lines_changed,time_open_days,is_merged,is_forked,source_repo,is_draft,is_locked,is_needs_qa
2463628500,1548,Merge 5.0.0-dev into TMF723 Policy Management,olivier-arnaud,open,2025-04-16 13:43:08+00:00,2025-04-16 13:44:03+00:00,,,,87724,43137,3140,1,0,[],0,0,0,130861,1,False,False,,False,False,False
2462917288,1547,Pulling v5.0.0-dev updates into TMF674-GeoSite branch,sharrop,open,2025-04-16 08:38:42+00:00,2025-04-16 08:38:42+00:00,,,,43251,42290,2798,0,0,[],0,0,0,85541,1,False,False,,False,False,False
2443755315,1541,TMF720 Digital Identity V5.0.0 - Conformance Profile (AP-3619),brunosfernandes,open,2025-04-07 16:07:38+00:00,2025-04-15 17:01:04+00:00,,,c2af34540ddde38d305caba1aa7db29f183d1957,505,461,7,0,0,"['api', 'TMF720_Digital_Identity']",2,0,13,966,10,False,False,,False,False,False
2428765481,1531,Update Monitor.schema.json description,olivier-arnaud,open,2025-03-31 11:54:47+00:00,2025-04-07 13:01:36+00:00,,,d8a0f2d2faf68d546504baa7ad8946f7c6c4c3e0,2,2,1,1,0,"['schemas', 'TMF931_Operate', 'TMF640_Service_Activation', 'TMF753_Closed_Loop', 'TMF755_Closed_Loop_Goal', 'TMF756_Closed_Loop_Activity', 'TMF757_Closed_Loop_Workflow', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF701_Process_Flow', 'TMF782_Workflow', 'TMF664_Resource_Function_Activation']",11,7,1,4,17,False,False,,False,False,False
2414099850,1528,draft: Tmf936 operate api v5.0.0,olivier-arnaud,open,2025-03-24 15:35:04+00:00,2025-04-16 08:12:30+00:00,,,,1503,806,47,3,1,"['schemas', 'api', 'TMF931_Operate', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF936_Operate_Product_Catalog']",5,48,21,2309,24,False,False,,False,False,False
2411283156,1527,Tmf681 communication v4 to v5 migration,lekhamaru,open,2025-03-22 14:19:51+00:00,2025-04-11 05:45:26+00:00,,,a9c92f67b08de12d826a26f8865502e889e1d6d6,21687,2020,129,0,0,"['schemas', 'api', 'TMF681_Communication']",3,0,45,23707,26,False,False,,False,False,False
2394134314,1521,[DTDXDEV-530] Updating runner to publish artifacts,rsivaji-tmforum,open,2025-03-14 16:46:13+00:00,2025-03-17 10:10:54+00:00,,,a8e3ce418cd3037db54b7ae77b0706da454179de,1,1,1,0,0,[],0,45,1,2,33,False,False,,False,False,False
2382494805,1518,TMF648 quote merge into master branch ,amanidkhil,open,2025-03-10 14:43:00+00:00,2025-04-16 16:16:44+00:00,,,59976c2077ce2137fbedb77fa3ea3be0d190e111,10945,2128,42,0,29,"['api', 'TMF648_Quote']",2,0,28,13073,38,False,False,,False,False,False
2377917548,1508,Tmf638 service inventory v5.1.0,AmitaGiriya,open,2025-03-07 07:17:17+00:00,2025-03-07 07:36:54+00:00,,,01e5b41f3f8da02e55ab2216fcd5417ae8c4f59c,41882,9354,436,0,0,"['schemas', 'api', 'TMF640_Service_Activation', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF638_Service_Inventory', 'TMF641_Service_Ordering', 'TMF645_Service_Qualification', 'TMF701_Process_Flow', 'TMF782_Workflow', 'TMF936_Operate_Product_Catalog']",10,45,7,51236,41,False,False,,False,False,False
2362739675,1506,Tmf687 stock,AnhTuanOrange,open,2025-02-27 17:07:40+00:00,2025-04-04 15:11:03+00:00,,,,23481,1316,199,0,91,"['schemas', 'api', 'TMF687_Stock', 'TMF700_Shipping_Order']",4,351,67,24797,48,False,False,,False,False,False
